LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,LogNotes,Battery,TPS,RPM,Speed,AirTemp,Load,CoolantTemp,Boost,TimingAdv,KnockSum,InjPulseWidth,LTFT_Bank1,KnockRetard,STFT_Bank1,Trans_Temp,OctaneFlag,VVTIntake,VVTExhaust,PurgeRelayDuty,ThrottleActuator,ETVIdleOpen,ISCLearnACoff,ISCLearnACon,AbsLoad,AccLoad,ActiveWGDC,PassiveWGDC,TargetIdleRPM,AirFlow,O2Sensor,O2Sensor2,WideBandAF,Custom
1,2022-12-22,12:40:16.40073,0.0555,,14.59267,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-12-22,12:40:16.41236,0.06806,,14.44601,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-12-22,12:40:16.42253,0.08168,,14.59267,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022-12-22,12:40:16.43818,0.09273,,14.51934,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022-12-22,12:40:16.43818,0.10476,,14.59267,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022-12-22,12:40:16.46979,0.1242,,14.51934,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022-12-22,12:40:16.46979,0.13644,,14.59267,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022-12-22,12:40:16.50133,0.1548,,14.44601,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-12-22,12:40:16.50133,0.16779,,14.51934,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022-12-22,12:40:16.51699,0.18063,,14.51934,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022-12-22,12:40:16.53364,0.19459,,14.59267,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022-12-22,12:40:16.54866,0.21738,,14.51934,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022-12-22,12:40:16.56440,0.23044,,14.59267,12.5490196078431,1000,0,54,4724,54,,,,,,,,,,,,,,,,,,,,,,,,,,
